,precision,recall,f1-score,support
<=50K,0.835027365129007,0.9424222369291859,0.8854803606591357,4533.0
>50K,0.7153762268266085,0.43733333333333335,0.5428216797683079,1500.0
accuracy,0.8168407094314603,0.8168407094314603,0.8168407094314603,0.8168407094314603
macro avg,0.7752017959778077,0.6898777851312596,0.7141510202137218,6033.0
weighted avg,0.8052782009563569,0.8168407094314603,0.8002842689408792,6033.0
