,precision,recall,f1-score,support
0,0.8439340400471143,0.9487971750165526,0.8932987012987013,4531.0
1,0.7529286474973376,0.47070572569906793,0.5792707906595658,1502.0
accuracy,0.829769600530416,0.829769600530416,0.829769600530416,0.829769600530416
macro avg,0.7984313437722259,0.7097514503578103,0.7362847459791335,6033.0
weighted avg,0.8212769706604468,0.829769600530416,0.8151170467686198,6033.0
