,precision,recall,f1-score,support
<=50K,0.9389021479713604,0.7955510616784631,0.8613026819923372,4945.0
>50K,0.564786913473956,0.8367346938775511,0.6743767668979697,1568.0
accuracy,0.8054659910947336,0.8054659910947336,0.8054659910947336,0.8054659910947336
macro avg,0.7518445307226582,0.8161428777780071,0.7678397244451534,6513.0
weighted avg,0.84883417811232,0.8054659910947336,0.8163004042604213,6513.0
